lemma,PoS,snippet_definition,url
abortista,"agg., s.m. e f.","abortista (agg., s.m. e f.) CO che, chi è favorevole alla legalizzazione dell’aborto | che, chi pratica aborti: medico …",https://dizionario.internazionale.it/parola/abortista
abusivista,"agg., s.m. e f.","abusivista (agg., s.m. e f.) CO che, chi pratica l’abusivismo, spec. edilizio…",https://dizionario.internazionale.it/parola/abusivista
accademista,s.m. e f.,"accademista (s.m. e f.) CO allievo di un’accademia, spec. militare…",https://dizionario.internazionale.it/parola/accademista
acomunista,s.m. e f.,"acomunista (s.m. e f.) CO spec. nel linguaggio giornalistico, chi non prende posizione nei confronti del comunismo…",https://dizionario.internazionale.it/parola/acomunista
acquerellista,s.m. e f.,acquerellista (s.m. e f.) CO chi dipinge ad acquerello…,https://dizionario.internazionale.it/parola/acquerellista
adorante,"p.pres., agg., s.m. e f.","adorante (p.pres., agg., s.m. e f.) 1. p.pres. => adorare 2. agg., s.m. e f. CO che, chi sta in adorazione, in preghiera…",https://dizionario.internazionale.it/parola/adorante
aeromodellista,s.m. e f.,aeromodellista (s.m. e f.) CO chi si dedica all’aeromodellismo…,https://dizionario.internazionale.it/parola/aeromodellista
affarista,s.m. e f.,affarista (s.m. e f.) CO chi si dedica agli affari senza scrupoli: astuto affarista…,https://dizionario.internazionale.it/parola/affarista
aforista,s.m. e f.,"aforista (s.m. e f.) CO chi inventa, crea aforismi | chi parla per aforismi…",https://dizionario.internazionale.it/parola/aforista
agonista,"agg., s.m. e f.","agonista (agg., s.m. e f.) 1. s.m. e f. CO stor. nell’antica Grecia, chi partecipava a un agone 2. s.m. e f. CO estens., chi …",https://dizionario.internazionale.it/parola/agonista
agonizzante,"p.pres., agg., s.m. e f.","agonizzante (p.pres., agg., s.m. e f.) 1. p.pres. => agonizzare 2. agg., s.m. e f. CO che, chi è in agonia, in punto di morte | …",https://dizionario.internazionale.it/parola/agonizzante
agriturista,s.m. e f.,agriturista (s.m. e f.) CO chi pratica l’agriturismo…,https://dizionario.internazionale.it/parola/agriturista
alchimista,s.m. e f.,alchimista (s.m. e f.) CO chi esercitava l’alchimia…,https://dizionario.internazionale.it/parola/alchimista
aliantista,s.m. e f.,aliantista (s.m. e f.) CO chi vola in aliante…,https://dizionario.internazionale.it/parola/aliantista
alienante,"p.pres., agg., s.m. e f.","alienante (p.pres., agg., s.m. e f.) 1. p.pres. => alienare 2. agg. CO che porta a uno stato di alienazione: lavoro alienante 3. agg., …",https://dizionario.internazionale.it/parola/alienante
allarmista,s.m. e f.,allarmista (s.m. e f.) CO chi provoca allarme | chi è solito allarmarsi…,https://dizionario.internazionale.it/parola/allarmista
